DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
44,2022,6,Mercedes,5.0,6.0,79.512,6.0,7.333333333333333,1.5275252316519377,8.147000000000006
47,2022,6,Haas F1 Team,14.0,10.0,80.368,15.0,15.0,2.0000000000000013,9.003
55,2022,6,Ferrari,4.0,3.0,79.166,3.0,6.0,1.732050807568872,7.801000000000002
63,2022,6,Mercedes,3.0,4.0,79.393,5.0,5.0,0.99999999999998,8.028000000000006
77,2022,6,Alfa Romeo,6.0,7.0,79.608,7.0,13.333333333333334,6.506407098647712,8.24300000000001
1,2022,7,Red Bull Racing,3.0,4.0,71.666,1.0,2.3333333333333335,1.5275252316519599,0.28999999999999204
3,2022,7,McLaren,13.0,14.0,72.964,12.0,15.666666666666666,4.041451884327381,1.5879999999999939
4,2022,7,McLaren,6.0,5.0,71.849,8.0,4.0,4.358898943540678,0.472999999999999
5,2022,7,Aston Martin,10.0,9.0,72.613,11.0,16.333333333333332,4.725815626252608,1.2369999999999948
6,2022,7,Williams,15.0,19.0,74.403,16.0,12.333333333333334,3.2145502536643167,3.027000000000001
10,2022,7,AlphaTauri,11.0,17.0,73.66,13.0,10.666666666666666,3.2145502536643114,2.283999999999992
11,2022,7,Red Bull Racing,1.0,3.0,71.629,2.0,7.333333333333333,7.571877794400366,0.2530000000000001
14,2022,7,Alpine,7.0,7.0,72.247,9.0,8.666666666666666,6.5064070986477125,0.8709999999999951
16,2022,7,Ferrari,4.0,1.0,71.376,20.0,5.333333333333333,2.0816659994661206,0.0
18,2022,7,Aston Martin,14.0,18.0,73.678,15.0,17.666666666666668,2.081665999466131,2.3019999999999925
20,2022,7,Haas F1 Team,20.0,13.0,72.921,17.0,18.333333333333332,1.154700538379253,1.5450000000000017
22,2022,7,AlphaTauri,17.0,11.0,72.797,10.0,10.666666666666666,4.041451884327385,1.4209999999999923
23,2022,7,Williams,20.0,16.0,73.611,18.0,12.333333333333334,6.658328118479392,2.2349999999999994
24,2022,7,Alfa Romeo,16.0,20.0,75.606,20.0,15.666666666666666,3.7859388972001824,4.22999999999999
31,2022,7,Alpine,12.0,10.0,72.528,7.0,8.333333333333334,4.7258156262526185,1.152000000000001
44,2022,7,Mercedes,8.0,8.0,72.56,5.0,6.0,1.9999999999999893,1.1839999999999975
47,2022,7,Haas F1 Team,20.0,15.0,73.081,14.0,15.333333333333334,1.527525231651948,1.7049999999999983
55,2022,7,Ferrari,2.0,2.0,71.601,4.0,7.333333333333333,2.0816659994661273,0.22499999999999432
63,2022,7,Mercedes,5.0,6.0,72.112,3.0,5.333333333333333,2.5166114784235756,0.73599999999999
77,2022,7,Alfa Romeo,9.0,12.0,72.909,6.0,11.0,5.000000000000001,1.5330000000000013
1,2022,8,Red Bull Racing,1.0,3.0,101.706,3.0,1.0,0.0,31.75200000000001
3,2022,8,McLaren,8.0,12.0,103.574,13.0,13.666666666666666,1.1547005383792497,33.620000000000005
4,2022,8,McLaren,9.0,11.0,103.398,6.0,7.0,8.660254037844389,33.444
5,2022,8,Aston Martin,6.0,9.0,103.091,10.0,16.0,5.2915026221291805,33.137
6,2022,8,Williams,15.0,18.0,105.367,15.0,11.666666666666666,3.0550504633038913,35.41300000000001
10,2022,8,AlphaTauri,5.0,6.0,102.845,11.0,13.0,2.999999999999995,32.891000000000005
11,2022,8,Red Bull Racing,2.0,2.0,101.641,1.0,4.333333333333333,3.511884584284251,31.687000000000012
14,2022,8,Alpine,7.0,10.0,103.173,7.0,12.333333333333334,6.110100926607784,33.21900000000001
16,2022,8,Ferrari,20.0,1.0,101.359,4.0,6.666666666666667,4.041451884327375,31.405
18,2022,8,Aston Martin,16.0,19.0,105.371,14.0,10.0,4.582575694955839,35.417
20,2022,8,Haas F1 Team,20.0,16.0,104.643,20.0,16.666666666666668,4.163331998932267,34.68900000000001
22,2022,8,AlphaTauri,13.0,8.0,103.056,17.0,10.666666666666666,1.1547005383792697,33.102000000000004
23,2022,8,Williams,12.0,17.0,104.719,20.0,13.666666666666666,7.767453465154029,34.765
24,2022,8,Alfa Romeo,20.0,14.0,103.777,16.0,13.333333333333334,3.785938897200182,33.82300000000001
31,2022,8,Alpine,10.0,13.0,103.585,12.0,14.0,5.999999999999999,33.631
44,2022,8,Mercedes,4.0,7.0,102.924,8.0,4.0,1.999999999999984,32.97000000000001
47,2022,8,Haas F1 Team,14.0,20.0,105.775,20.0,16.333333333333332,3.214550253664318,35.82100000000001
55,2022,8,Ferrari,20.0,4.0,101.814,2.0,6.0,1.732050807568871,31.86
63,2022,8,Mercedes,3.0,5.0,102.712,5.0,5.666666666666667,2.309401076758495,32.75800000000001
77,2022,8,Alfa Romeo,11.0,15.0,104.444,9.0,15.333333333333334,5.507570547286103,34.49000000000001
1,2022,9,Red Bull Racing,1.0,1.0,81.299,1.0,3.6666666666666665,2.516611478423591,16.908
3,2022,9,McLaren,11.0,9.0,83.749,8.0,11.0,2.6457513110645903,19.35799999999999
4,2022,9,McLaren,15.0,14.0,94.066,9.0,6.0,6.2449979983984,29.674999999999997
5,2022,9,Aston Martin,12.0,17.0,94.512,6.0,12.666666666666666,6.110100926607786,30.120999999999995
6,2022,9,Williams,16.0,19.0,95.66,15.0,10.0,4.582575694955839,31.26899999999999
10,2022,9,AlphaTauri,14.0,16.0,94.492,5.0,14.0,5.291502622129178,30.101
11,2022,9,Red Bull Racing,20.0,13.0,93.127,2.0,9.333333333333334,9.451631252505218,28.73599999999999
14,2022,9,Alpine,9.0,2.0,81.944,7.0,11.0,9.0,17.552999999999997
16,2022,9,Ferrari,5.0,15.0,93.008,20.0,2.3333333333333335,1.5275252316519228,28.61699999999999
18,2022,9,Aston Martin,10.0,18.0,95.532,16.0,12.666666666666666,3.214550253664317,31.14099999999999
20,2022,9,Haas F1 Team,17.0,5.0,82.96,20.0,19.0,1.7320508075688814,18.56899999999999
22,2022,9,AlphaTauri,20.0,20.0,96.575,13.0,13.0,4.582575694955843,32.184
23,2022,9,Williams,13.0,12.0,86.858,12.0,8.333333333333334,1.1547005383792583,22.467
24,2022,9,Alfa Romeo,8.0,10.0,84.03,20.0,17.333333333333332,2.309401076758503,19.638999999999996
31,2022,9,Alpine,6.0,7.0,83.529,10.0,11.666666666666666,7.234178138070238,19.13799999999999
44,2022,9,Mercedes,3.0,4.0,82.891,4.0,5.0,1.999999999999987,18.5
47,2022,9,Haas F1 Team,20.0,6.0,83.356,14.0,16.0,3.464101615137755,18.96499999999999
55,2022,9,Ferrari,2.0,3.0,82.096,20.0,6.0,3.6055512754639856,17.705
63,2022,9,Mercedes,4.0,8.0,83.557,3.0,12.0,7.549834435270751,19.165999999999997
77,2022,9,Alfa Romeo,7.0,11.0,86.788,11.0,11.333333333333334,1.5275252316519476,22.39699999999999
1,2022,10,Red Bull Racing,7.0,2.0,99.129,1.0,4.0,5.196152422706636,28.230000000000004
3,2022,10,McLaren,13.0,14.0,101.933,11.0,10.333333333333334,2.081665999466132,31.034000000000006
4,2022,10,McLaren,6.0,6.0,101.515,15.0,2.6666666666666665,1.1547005383792568,30.616
5,2022,10,Aston Martin,9.0,18.0,102.666,12.0,12.666666666666666,1.15470053837925,31.766999999999996
6,2022,10,Williams,12.0,10.0,101.998,16.0,9.666666666666666,5.507570547286101,31.099000000000004
10,2022,10,AlphaTauri,20.0,11.0,101.68,14.0,9.0,0.9999999999999656,30.781000000000006
11,2022,10,Red Bull Racing,2.0,4.0,100.521,20.0,14.333333333333334,9.814954576223636,29.622
14,2022,10,Alpine,5.0,7.0,101.598,9.0,6.666666666666667,2.0816659994661455,30.698999999999998
16,2022,10,Ferrari,4.0,3.0,99.846,5.0,8.333333333333334,10.115993936995677,28.947000000000003
18,2022,10,Aston Martin,11.0,20.0,103.43,10.0,8.666666666666666,1.5275252316519452,32.531000000000006
20,2022,10,Haas F1 Team,10.0,17.0,102.159,17.0,15.666666666666666,3.2145502536643202,31.260000000000005
22,2022,10,AlphaTauri,14.0,13.0,101.893,20.0,15.333333333333334,3.2145502536643176,30.994
23,2022,10,Williams,20.0,16.0,102.078,13.0,17.0,5.196152422706634,31.179000000000002
24,2022,10,Alfa Romeo,20.0,9.0,100.791,8.0,11.666666666666666,3.511884584284243,29.891999999999996
31,2022,10,Alpine,20.0,15.0,101.73,6.0,13.333333333333334,3.0550504633038935,30.831000000000003
44,2022,10,Mercedes,3.0,5.0,100.428,3.0,6.0,1.9999999999999907,29.528999999999996
47,2022,10,Haas F1 Team,8.0,19.0,102.708,20.0,18.0,3.4641016151377513,31.808999999999997
55,2022,10,Ferrari,1.0,1.0,100.19,2.0,13.333333333333334,7.023769168568487,29.290999999999997
63,2022,10,Mercedes,20.0,8.0,100.028,4.0,4.666666666666667,2.0816659994661277,29.129000000000005
77,2022,10,Alfa Romeo,20.0,12.0,101.396,7.0,11.666666666666666,4.163331998932267,30.497
1,2022,11,Red Bull Racing,2.0,1.0,64.984,7.0,1.3333333333333333,0.5773502691896811,1.0129999999999981
3,2022,11,McLaren,9.0,16.0,66.613,13.0,12.0,3.605551275463989,2.642000000000003
4,2022,11,McLaren,7.0,15.0,66.33,6.0,7.333333333333333,9.237604307034013,2.3590000000000018
5,2022,11,Aston Martin,17.0,20.0,67.083,9.0,11.666666666666666,2.5166114784235827,3.112000000000002
6,2022,11,Williams,20.0,19.0,67.003,12.0,11.666666666666666,4.509249752822893,3.0320000000000036
10,2022,11,AlphaTauri,15.0,10.0,66.16,20.0,14.0,4.582575694955836,2.189
11,2022,11,Red Bull Racing,20.0,13.0,65.404,2.0,5.333333333333333,3.0550504633038966,1.4329999999999998
14,2022,11,Alpine,10.0,8.0,66.016,5.0,8.666666666666666,2.886751345948134,2.045000000000009
16,2022,11,Ferrari,1.0,2.0,65.013,4.0,6.333333333333333,2.3094010767584976,1.0420000000000087
18,2022,11,Aston Martin,13.0,17.0,66.847,11.0,15.0,1.7320508075688772,2.8759999999999977
20,2022,11,Haas F1 Team,8.0,6.0,65.879,10.0,15.666666666666666,5.131601439446886,1.9080000000000084
22,2022,11,AlphaTauri,16.0,14.0,66.463,14.0,15.666666666666666,3.511884584284246,2.4919999999999973
23,2022,11,Williams,12.0,11.0,66.23,20.0,15.333333333333334,6.429100507328638,2.2590000000000074
24,2022,11,Alfa Romeo,14.0,18.0,66.901,20.0,16.0,3.605551275463991,2.9299999999999997
31,2022,11,Alpine,5.0,5.0,65.726,20.0,13.0,6.082762530298222,1.7550000000000026
44,2022,11,Mercedes,3.0,9.0,65.475,3.0,4.0,1.7320508075688585,1.5039999999999978
47,2022,11,Haas F1 Team,6.0,7.0,66.011,8.0,14.0,6.000000000000003,2.039999999999999
55,2022,11,Ferrari,20.0,3.0,65.066,1.0,8.666666666666666,2.309401076758488,1.095000000000006
63,2022,11,Mercedes,4.0,4.0,65.431,20.0,3.3333333333333335,2.0816659994661206,1.4600000000000009
77,2022,11,Alfa Romeo,11.0,12.0,66.319,20.0,16.0,4.000000000000001,2.348000000000006
1,2022,12,Red Bull Racing,1.0,2.0,91.176,2.0,8.666666666666666,10.016652800877814,6.284000000000006
3,2022,12,McLaren,9.0,11.0,92.922,9.0,10.333333333333334,2.3094010767585034,8.030000000000001
4,2022,12,McLaren,7.0,5.0,92.032,7.0,7.666666666666667,10.692676621563628,7.140000000000001
5,2022,12,Aston Martin,11.0,14.0,93.276,17.0,13.0,4.582575694955839,8.384
6,2022,12,Williams,20.0,20.0,93.794,20.0,16.0,3.9999999999999987,8.902000000000001
10,2022,12,AlphaTauri,12.0,16.0,93.439,15.0,14.333333333333334,5.131601439446881,8.546999999999997
11,2022,12,Red Bull Racing,4.0,3.0,91.335,20.0,10.0,8.888194417315589,6.442999999999998
14,2022,12,Alpine,6.0,7.0,92.552,10.0,11.333333333333334,5.859465277082316,7.660000000000011
16,2022,12,Ferrari,20.0,1.0,90.872,1.0,7.0,3.9999999999999973,5.980000000000004
18,2022,12,Aston Martin,10.0,17.0,93.439,13.0,12.333333333333334,2.0816659994661335,8.546999999999997
20,2022,12,Haas F1 Team,20.0,10.0,92.649,8.0,11.0,5.196152422706633,7.757000000000005
