,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
298,30,2025,6,Racing Bulls,20.0,15.0,87.363,12.0,15.0,2.6457513110645903,1.159000000000006
299,30,2025,7,Racing Bulls,14.0,16.0,76.379,20.0,16.0,4.0,1.7090000000000032
300,30,2025,8,Racing Bulls,8.0,9.0,71.129,14.0,15.333333333333334,4.163331998932265,1.1750000000000114
301,30,2025,9,Racing Bulls,11.0,13.0,72.763,8.0,14.0,5.999999999999999,1.2169999999999987
302,30,2025,10,Racing Bulls,20.0,19.0,72.525,11.0,11.0,2.999999999999996,1.6260000000000048
303,30,2025,11,Racing Bulls,6.0,6.0,64.926,20.0,13.0,6.244997998398397,0.9550000000000054
304,30,2025,12,Racing Bulls,20.0,16.0,86.44,6.0,12.333333333333334,7.094598884597586,1.5480000000000018
305,30,2025,13,Racing Bulls,8.0,9.0,101.297,20.0,15.333333333333334,8.082903768654761,0.7349999999999994
306,30,2025,14,Racing Bulls,8.0,9.0,75.63,8.0,11.333333333333334,7.571877794400362,0.7399999999999949
307,30,2025,15,Racing Bulls,12.0,8.0,69.383,8.0,12.0,6.928203230275507,0.7209999999999894
308,30,2025,16,Racing Bulls,14.0,20.0,80.279,12.0,9.333333333333334,2.309401076758492,1.4869999999999948
309,30,2025,17,Racing Bulls,5.0,3.0,101.537,14.0,11.333333333333334,3.055050463303886,0.4200000000000017
310,30,2025,18,Racing Bulls,15.0,12.0,90.32,5.0,10.333333333333334,4.725815626252603,1.161999999999992
311,30,2025,19,Racing Bulls,11.0,12.0,93.36,15.0,11.333333333333334,5.507570547286098,0.8499999999999943
312,30,2025,20,Racing Bulls,20.0,15.0,76.961,11.0,10.333333333333334,5.033222956847162,1.375
313,30,2025,21,Racing Bulls,7.0,7.0,69.95,20.0,15.333333333333334,4.509249752822891,0.4390000000000071
314,30,2025,22,Racing Bulls,14.0,6.0,109.062,7.0,12.666666666666666,6.658328118479391,1.128
315,30,2025,23,Racing Bulls,9.0,12.0,80.433,14.0,13.666666666666666,6.506407098647709,1.0460000000000065
316,30,2025,24,Racing Bulls,18.0,13.0,83.077,9.0,10.0,3.605551275463984,0.8700000000000045
317,31,2025,1,Haas F1 Team,13.0,19.0,77.147,10.0,13.0,0.0,2.051000000000002
318,31,2025,2,Haas F1 Team,5.0,11.0,91.625,13.0,13.0,0.0,0.9839999999999948
319,31,2025,3,Haas F1 Team,18.0,18.0,88.696,5.0,9.0,5.656854249492381,1.712999999999994
320,31,2025,4,Haas F1 Team,8.0,14.0,91.594,18.0,12.0,6.557438524302,1.753
321,31,2025,5,Haas F1 Team,14.0,19.0,89.092,8.0,10.333333333333334,6.8068592855540455,1.7980000000000018
322,31,2025,6,Haas F1 Team,12.0,9.0,86.824,14.0,13.333333333333334,5.033222956847166,0.6200000000000045
323,31,2025,7,Haas F1 Team,20.0,18.0,76.613,12.0,11.333333333333334,3.055050463303893,1.9429999999999976
324,31,2025,8,Haas F1 Team,7.0,8.0,70.942,20.0,15.333333333333334,4.163331998932265,0.9879999999999995
325,31,2025,9,Haas F1 Team,16.0,17.0,73.201,7.0,13.0,6.557438524302,1.654999999999987
326,31,2025,10,Haas F1 Team,9.0,15.0,72.378,16.0,14.333333333333334,6.6583281184793925,1.4789999999999992
327,31,2025,11,Haas F1 Team,10.0,17.0,65.364,9.0,10.666666666666666,4.725815626252608,1.3930000000000078
328,31,2025,12,Haas F1 Team,13.0,15.0,85.95,10.0,11.666666666666666,3.785938897200182,1.058000000000007
