,DriverNumber,RoundNumber,FastestTime
253,44,13,0 days 00:01:41.939000
254,55,13,0 days 00:01:41.691000
255,63,13,0 days 00:01:41.254000
256,81,13,0 days 00:01:40.626000
257,87,13,0 days 00:01:41.617000
258,1,14,0 days 00:01:15.547000
259,4,14,0 days 00:01:14.890000
260,5,14,0 days 00:01:15.586000
261,6,14,0 days 00:01:15.469000
262,10,14,0 days 00:01:15.966000
263,12,14,0 days 00:01:15.782000
264,14,14,0 days 00:01:15.281000
265,16,14,0 days 00:01:15.372000
266,18,14,0 days 00:01:15.129000
267,22,14,0 days 00:01:15.899000
268,23,14,0 days 00:01:16.223000
269,27,14,0 days 00:01:16.081000
270,30,14,0 days 00:01:15.630000
271,31,14,0 days 00:01:16.023000
272,43,14,0 days 00:01:15.875000
273,44,14,0 days 00:01:15.702000
274,55,14,0 days 00:01:15.652000
275,63,14,0 days 00:01:15.201000
276,81,14,0 days 00:01:14.941000
277,87,14,0 days 00:01:15.694000
278,1,15,0 days 00:01:08.925000
279,4,15,0 days 00:01:08.674000
280,5,15,0 days 00:01:09.622000
281,6,15,0 days 00:01:09.208000
282,10,15,0 days 00:01:09.637000
283,12,15,0 days 00:01:09.493000
284,14,15,0 days 00:01:09.366000
285,16,15,0 days 00:01:09.304000
286,22,15,0 days 00:01:09.622000
287,23,15,0 days 00:01:09.652000
288,27,15,0 days 00:01:10.195000
289,30,15,0 days 00:01:09.383000
290,31,15,0 days 00:01:10.197000
291,43,15,0 days 00:01:10.104000
292,44,15,0 days 00:01:09.261000
293,55,15,0 days 00:01:09.472000
294,63,15,0 days 00:01:09.255000
295,81,15,0 days 00:01:08.662000
296,87,15,0 days 00:01:10.262000
297,1,16,0 days 00:01:18.792000
298,4,16,0 days 00:01:18.869000
299,5,16,0 days 00:01:19.323000
300,6,16,0 days 00:01:19.917000
301,10,16,0 days 00:01:20.103000
302,12,16,0 days 00:01:19.200000
303,14,16,0 days 00:01:19.362000
304,16,16,0 days 00:01:19.007000
305,18,16,0 days 00:01:19.948000
306,22,16,0 days 00:01:19.433000
