DriverNumber,RoundNumber,Position,LastFinish,RollingAverage3,RollingStd3,FastestTime,Delta
14,3,11.0,20.0,20.0,0.0,87.897,0.9140000000000015
14,4,15.0,11.0,17.0,5.196152422706632,91.634,1.7930000000000064
14,5,11.0,15.0,15.333333333333334,4.509249752822894,88.303,1.0090000000000003
14,6,15.0,11.0,12.333333333333334,2.3094010767585034,87.604,1.4000000000000057
14,7,11.0,15.0,13.666666666666666,2.3094010767585034,75.431,0.7609999999999957
14,8,20.0,11.0,12.333333333333334,2.3094010767585034,70.924,0.9700000000000131
14,9,9.0,20.0,15.333333333333334,4.509249752822894,72.284,0.7379999999999995
14,10,7.0,9.0,13.333333333333334,5.8594652770823155,71.586,0.6869999999999976
14,11,7.0,7.0,12.0,7.0,65.128,1.1570000000000036
14,12,9.0,7.0,7.666666666666667,1.1547005383792517,85.593,0.7010000000000076
14,13,17.0,9.0,7.666666666666667,1.1547005383792517,102.385,1.8230000000000075
14,14,5.0,17.0,11.0,5.291502622129181,75.281,0.39100000000000534
14,15,8.0,5.0,10.333333333333334,6.110100926607787,69.366,0.7039999999999935
14,16,20.0,8.0,10.0,6.244997998398398,79.362,0.5699999999999932
14,17,15.0,20.0,11.0,7.937253933193772,101.857,0.7399999999999949
14,18,7.0,15.0,14.333333333333334,6.027713773341708,89.955,0.796999999999997
14,19,10.0,7.0,14.0,6.557438524302,93.16,0.6499999999999915
14,20,20.0,10.0,10.666666666666666,4.041451884327381,77.103,1.516999999999996
14,21,14.0,20.0,12.333333333333334,6.8068592855540455,70.001,0.4900000000000091
14,22,11.0,14.0,14.666666666666666,5.033222956847165,109.466,1.5319999999999965
14,23,7.0,11.0,15.0,4.582575694955839,80.219,0.8319999999999936
14,24,6.0,7.0,10.666666666666666,3.511884584284245,82.861,0.6540000000000106
16,1,8.0,,8.0,0.0,75.755,0.6589999999999918
16,2,20.0,8.0,8.0,0.0,91.021,0.37999999999999545
16,3,4.0,20.0,14.0,8.48528137423857,87.299,0.3160000000000025
16,4,4.0,4.0,10.666666666666666,8.32666399786453,90.175,0.3340000000000032
16,5,3.0,4.0,9.333333333333334,9.237604307034013,87.67,0.3760000000000048
16,6,7.0,3.0,3.6666666666666665,0.5773502691896386,86.754,0.5500000000000114
16,7,6.0,7.0,4.666666666666667,2.081665999466136,75.604,0.9339999999999975
16,8,2.0,6.0,5.333333333333333,2.081665999466136,70.063,0.10900000000000887
16,9,3.0,2.0,5.0,2.6457513110645934,72.131,0.5849999999999937
16,10,5.0,3.0,3.6666666666666665,2.081665999466136,71.626,0.7270000000000039
16,11,3.0,5.0,3.3333333333333335,1.5275252316519514,64.492,0.5210000000000079
16,12,14.0,3.0,3.6666666666666665,1.1547005383792577,85.121,0.2289999999999992
16,13,3.0,14.0,7.333333333333333,5.859465277082316,100.9,0.33800000000000807
16,14,4.0,3.0,6.666666666666667,6.350852961085884,75.372,0.4819999999999993
16,15,20.0,4.0,7.0,6.08276253029822,69.304,0.6419999999999959
16,16,4.0,20.0,9.0,9.539392014169456,79.007,0.2150000000000034
16,17,9.0,4.0,9.333333333333334,9.237604307034013,101.458,0.340999999999994
16,18,6.0,9.0,11.0,8.18535277187245,89.784,0.6260000000000048
16,19,3.0,6.0,6.333333333333333,2.516611478423583,92.807,0.29699999999999704
16,20,2.0,3.0,6.0,3.0,75.848,0.26200000000000045
16,21,20.0,2.0,3.6666666666666665,2.0816659994661326,69.801,0.29000000000000625
16,22,4.0,20.0,8.333333333333334,10.115993936995679,109.872,1.9380000000000024
16,23,8.0,4.0,8.666666666666666,9.865765724632496,80.343,0.9560000000000031
16,24,4.0,8.0,10.666666666666666,8.326663997864532,82.73,0.5230000000000103
18,1,6.0,,6.0,0.0,76.369,1.2729999999999961
18,2,9.0,6.0,6.0,0.0,91.773,1.1319999999999908
18,3,20.0,9.0,7.5,2.1213203435596424,89.271,2.2879999999999967
18,4,17.0,20.0,11.666666666666666,7.371114795831994,92.283,2.4420000000000073
18,5,16.0,17.0,15.333333333333334,5.686240703077325,88.645,1.350999999999999
18,6,16.0,16.0,17.666666666666668,2.0816659994661277,87.83,1.6260000000000048
18,7,15.0,16.0,16.333333333333332,0.5773502691896093,75.497,0.8269999999999982
18,8,15.0,15.0,15.666666666666666,0.5773502691896075,72.563,2.609000000000009
18,10,17.0,15.0,15.333333333333334,0.5773502691896075,72.517,1.617999999999995
18,11,14.0,17.0,15.666666666666666,1.1547005383792428,65.329,1.357999999999997
18,12,7.0,14.0,15.333333333333334,1.5275252316519405,86.504,1.612000000000009
18,13,14.0,7.0,12.666666666666666,5.131601439446882,102.502,1.9399999999999977
18,14,7.0,14.0,11.666666666666666,4.041451884327378,75.129,0.23900000000000432
18,15,7.0,7.0,9.333333333333334,4.041451884327378,,
18,16,18.0,7.0,9.333333333333334,4.041451884327378,79.948,1.1559999999999917
18,17,17.0,18.0,10.666666666666666,6.350852961085882,102.101,0.9839999999999947
18,18,13.0,17.0,14.0,6.082762530298217,90.949,1.7909999999999968
18,19,12.0,13.0,16.0,2.6457513110645823,94.54,2.030000000000001
18,20,14.0,12.0,14.0,2.6457513110645863,77.606,2.019999999999996
18,21,16.0,14.0,13.0,0.9999999999999942,70.041,0.5300000000000011
18,22,20.0,16.0,14.0,1.9999999999999944,112.85,4.915999999999997
18,23,17.0,20.0,16.666666666666668,3.0550504633038846,81.058,1.6710000000000065
18,24,10.0,17.0,17.666666666666668,2.0816659994661166,83.097,0.8900000000000006
22,1,12.0,,12.0,0.0,75.67,0.5739999999999981
22,2,16.0,12.0,12.0,0.0,91.238,0.5969999999999942
22,3,12.0,16.0,14.0,2.8284271247461903,87.967,0.9839999999999947
22,4,9.0,12.0,13.333333333333334,2.3094010767585034,91.228,1.3870000000000005
22,5,20.0,9.0,12.333333333333334,3.5118845842842465,87.99,0.695999999999998
22,6,10.0,20.0,13.666666666666666,5.686240703077328,86.943,0.7390000000000043
22,7,10.0,10.0,13.0,6.082762530298221,,
22,8,17.0,10.0,13.333333333333334,5.773502691896259,71.415,1.4610000000000127
22,9,13.0,17.0,12.333333333333334,4.041451884327382,73.385,1.8389999999999986
22,10,12.0,13.0,13.333333333333334,3.5118845842842488,72.102,1.203000000000003
22,11,16.0,12.0,14.0,2.6457513110645934,65.369,1.3980000000000032
22,12,15.0,16.0,13.666666666666666,2.0816659994661366,85.826,0.9339999999999975
22,13,13.0,15.0,14.333333333333334,2.0816659994661366,101.245,0.6830000000000069
22,14,17.0,13.0,14.666666666666666,1.5275252316519514,75.899,1.0090000000000003
22,15,9.0,17.0,15.0,2.0000000000000036,69.622,0.9599999999999937
22,16,13.0,9.0,13.0,4.000000000000002,79.433,0.6410000000000053
22,17,6.0,13.0,13.0,4.000000000000002,101.788,0.6709999999999923
22,18,12.0,6.0,9.333333333333334,3.5118845842842488,90.353,1.1949999999999932
22,19,7.0,12.0,10.333333333333334,3.785938897200184,93.466,0.9559999999999889
22,20,11.0,7.0,8.333333333333334,3.214550253664321,76.816,1.230000000000004
22,21,17.0,11.0,10.0,2.645751311064594,70.711,1.2000000000000028
22,22,12.0,17.0,11.666666666666666,5.033222956847168,116.798,8.864000000000004
22,23,10.0,12.0,13.333333333333334,3.214550253664321,80.761,1.3739999999999952
22,24,14.0,10.0,13.0,3.605551275463992,83.034,0.8270000000000124
23,1,5.0,,5.0,0.0,75.737,0.6409999999999911
23,2,7.0,5.0,5.0,0.0,91.503,0.8619999999999948
23,3,9.0,7.0,6.0,1.4142135623730951,87.615,0.6319999999999908
23,4,12.0,9.0,7.0,2.0,92.04,2.1990000000000123
23,5,9.0,12.0,9.333333333333334,2.516611478423583,88.109,0.8149999999999977
23,6,5.0,9.0,10.0,1.7320508075688767,86.682,0.47800000000000864
23,7,5.0,5.0,8.666666666666666,3.5118845842842457,75.473,0.8029999999999973
23,8,9.0,5.0,6.333333333333333,2.309401076758501,70.732,0.7780000000000058
23,9,20.0,9.0,6.333333333333333,2.309401076758501,72.641,1.0949999999999989
23,10,20.0,20.0,11.333333333333334,7.767453465154029,71.892,0.992999999999995
23,11,20.0,20.0,16.333333333333332,6.350852961085885,65.143,1.1720000000000041
23,12,8.0,20.0,20.0,0.0,85.889,0.9969999999999999
23,13,6.0,8.0,16.0,6.928203230275511,101.201,0.6389999999999958
23,14,15.0,6.0,11.333333333333334,7.571877794400367,76.223,1.3329999999999984
